,entity_name,kaggle_image_path,entity_value,prediction
0,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/514hYloRRBL.jpg,20.0 gram,20.0 gram
1,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/81kGf7hh-UL.jpg,5.2 gram,300.0 milligram
2,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/51TelYrnNFL.jpg,328.0 gram,128.0 gram
3,depth,/kaggle/input/amazon-2024-100k-imgs/images/51rz5d2wMzL.jpg,1.26 inch,5.31 millimetre
4,height,/kaggle/input/amazon-2024-100k-imgs/images/51N9rVANhvL.jpg,40.0 centimetre,40.0 centimetre
5,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/81AXSerAZpL.jpg,180.0 gram,180.0 gram
6,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/61mX1SBIJaL.jpg,4 ounce,4.0 ounce
7,width,/kaggle/input/amazon-2024-100k-imgs/images/614tkWDAAIL.jpg,190.0 centimetre,190.0 centimetre
8,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/71PTqJmYYYL.jpg,45.0 gram,40.0 gram
9,wattage,/kaggle/input/amazon-2024-100k-imgs/images/61eHGNjG9RL.jpg,60.0 watt,60.0 watt
10,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/612PtY5lD-L.jpg,671.0 gram,100.0 gram
11,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/51OWHKOAdLL.jpg,14.2 milligram,142.0 gram
12,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/61stDL7LXSS.jpg,433.0 gram,43.0 gram
13,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/71FLySSUg5L.jpg,1.16 gram,1.16 gram
14,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/71WrYKpeB1L.jpg,1.1 pound,500.0 gram
15,width,/kaggle/input/amazon-2024-100k-imgs/images/613pCIKlc9L.jpg,12.0 inch,1.0 inch
16,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/81B+vHoatWL.jpg,453.6 gram,1.0 ounce
17,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/71lP9CrXrCL.jpg,12.7 pound,5.8 kilogram
18,depth,/kaggle/input/amazon-2024-100k-imgs/images/612XsG-4U7L.jpg,5.7 centimetre,5.7 centimetre
19,depth,/kaggle/input/amazon-2024-100k-imgs/images/517ucWOdfuL.jpg,30.0 centimetre,25.0 centimetre
20,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/6150HAciWIL.jpg,120.0 gram,100.0 gram
